Параметр_Здоровья,Технология_Мониторинга,Метод_Сбора_Данных,Точность_Ожидаемая,Важность_для_Пожилых,Простота_для_Пожилых,Приоритет_HomeBridge
Когнитивное снижение,Аудио + GPT-4o,Ежедневный разговор 5-10 мин,75-85%,Критическая,Очень высокая,Phase 1 (Ядро)
Депрессия,Аудио + GPT-4o,Беседа о настроении,70-80%,Высокая,Очень высокая,Phase 1 (Ядро)
Тревожность,Аудио + Claude 3.5,Тональность голоса,75-82%,Высокая,Высокая,Phase 1 (Ядро)
Настроение (ежедневно),Аудио + GPT-4o,Ежедневный чек-ин,80-90%,Высокая,Очень высокая,Phase 1 (Ядро)
Речевые паттерны,Whisper + GPT-4,Автоматический анализ речи,80-90%,Высокая,Очень высокая,Phase 1 (Ядро)
Синдром хрупкости,Аудио + Claude 3.5,Голосовые биомаркеры,65-75%,Критическая,Высокая,Phase 2 (Развитие)
Одиночество,Разговор + GPT-4o,Социальные вопросы,70-85%,Критическая,Очень высокая,Phase 1 (Ядро)
Качество сна (опрос),Разговор + анализ,Вечерние вопросы,75-85%,Высокая,Высокая,Phase 1 (Ядро)
Социальная активность,Разговор + GPT-4,Рассказ о дне,85-90%,Высокая,Очень высокая,Phase 1 (Ядро)
Боль/дискомфорт,Аудио тон + GPT-4o,Описание самочувствия,70-80%,Высокая,Высокая,Phase 2 (Развитие)
Пульс (rPPG),Камера + GPT-4V,60-сек видео лица,70-80%,Критическая,Высокая,Phase 2 (Развитие)
Частота дыхания,Камера + GPT-4V,30-сек видео груди,75-85%,Высокая,Высокая,Phase 2 (Развитие)
Выражение лица/эмоции,Камера + GPT-4V,Анализ мимики,80-85%,Средняя,Средняя,Phase 2 (Улучшение)
Детекция падений,Камера + Gemini Vision,Постоянное видеонаблюдение,80-90%,Критическая,Высокая,Phase 2 (Безопасность)
Анализ походки,Камера + GPT-4V,30-сек видео ходьбы,70-80%,Высокая,Средняя,Phase 3 (Продвинутое)
Саркопения (BMI лица),Камера + анализ лица,Фото лица для BMI,70-85%,Высокая,Высокая,Phase 3 (Продвинутое)
Кровяное давление,Камера + Gemini Pro,90-сек видео лица,60-70%,Средняя,Средняя,Phase 3 (Продвинутое)
Уровень активности,Камера + детекция движения,Детекция движений,85-95%,Высокая,Высокая,Phase 2 (Развитие)
Лицевая асимметрия (инсульт),Камера + GPT-4V медицинский,Анализ симметрии лица,85-95%,Критическая,Высокая,Phase 2 (Безопасность)
Тремор/движения,Камера + анализ движения,Видео рук/движений,75-85%,Средняя,Высокая,Phase 3 (Улучшение)
Общее самочувствие,GPT-4o + GPT-4V + Claude,Голос + видео + контекст,80-90%,Критическая,Высокая,Phase 1 (Ядро)
Соблюдение лекарств,Камера + голосовые напоминания,Камера + голосовые напоминания,85-95%,Критическая,Высокая,Phase 2 (Развитие)
Экстренные ситуации,Мультимодальный ИИ,Многоканальный мониторинг,85-95%,Критическая,Высокая,Phase 2 (Безопасность)
Качество жизни,Голос + видео анализ,Комплексная оценка,75-90%,Высокая,Средняя,Phase 3 (Платформа)
Семейные отношения,Анализ разговоров + поведения,Анализ взаимодействий,80-90%,Высокая,Высокая,Phase 1 (Ядро)
